X1	A_1_1	A_1_10	A_1_11	A_1_12	A_1_13	A_1_14	A_1_15	A_1_16	A_1_17	A_1_18	A_1_19	A_1_2	A_1_20	A_1_21	A_1_22	A_1_23	A_1_24	A_1_25	A_1_26	A_1_27	A_1_28	A_1_29	A_1_3	A_1_30	A_1_31	A_1_32	A_1_33	A_1_34	A_1_35	A_1_36	A_1_37	A_1_38	A_1_39	A_1_4	A_1_40	A_1_41	A_1_42	A_1_43	A_1_44	A_1_45	A_1_46	A_1_47	A_1_48	A_1_49	A_1_5	A_1_6	A_1_7	A_1_8	A_1_9
sp|A0A0B4J2F0|PIOS1_HUMAN	52102.095	125050.9	127950.67	53948.974	107912.76	77528.14	108104.09	52705	131094.03	111673.92	23909.995	44425.098	35395.981	19954.954	78414.95	52341.95	54708.03	116855.89	82719.1	160444.27	63658.08	93193.02	62139.94	228753.9	441517.49	109222.1	84577.89	252492.13	416634.01	40899.061	80713.99	61618.99	74648.01	49757.981	90395.9	65235.046	54903.02	64876.907	84974.09	63600.953	94610.98	128579.17	148041.14	98653.94	114634.03	80361.08	65810.94	42605.006	99264.02
sp|A0A0U1RRE5|NBDY_HUMAN	360139.22	753984.2	447030.49	731422.23	684069.27	648198.63	438458.68	660127.24	687005.12	727560.7	471053.99	229613.942	287915.1	381103.09	177628.96	305856.57	252826.23	825257.92	867045.8	786750.6	196027.44	677105.6	786485.1	227133.24	873536	387875.35	678207.6	473262.2	590923.9	154202.502	294530.28	722931.9	785166.2	703263.53	284436.25	559895.53	258065.87	677109.6	539836.57	305968.06	697089	579907.9	759759.9	686380.4	196684.86	589261.75	661849.8	692631.3	360189.13
sp|A0A0U1RRL7|MMPOS_HUMAN	NA	63778.98	14527	19672.96	14687.05	14174.01	15628.99	13392.99	39137.96	59434.85	19505.06	NA	8106	21611	3029.996	5684.996	4470.989	40240.04	107704.13	86608.05	5359.981	45585.03	50322	3943.995	59002.01	33510.93	117170.07	21545.84	67325.07	NA	9488.04	97857.23	35023.03	29919.08	11527	22612.02	8788.95	42273.03	20015.99	6454.002	112448.94	32630.03	41294.07	39025	22286.996	55373	46616	49873.99	8911.02
sp|A0AV96|RBM47_HUMAN	50372.995	NA	NA	15318.07	NA	30909.95	NA	NA	NA	NA	49715.97	8711.02	18022.99	NA	70851	12087.94	18780.01	42995.98	93751.05	56915.018	39083.02	NA	NA	35481.14	NA	122437.09	133947.195	NA	NA	42005.06	34994.076	70188.01	50687.013	NA	81666.973	NA	NA	76779.99	36095.993	28616.05	59622.03	NA	73474.89	77743.83	NA	NA	64175.04	NA	37837.99
sp|A0AVT1|UBA6_HUMAN	151737.19	190831.27	118342.04	181234.06	124849.95	112345.86	134640.9	136432.95	125748.67	162848.23	83069.83	29794.873	54547.99	75041.08	41025.07	47228.01	55186	221333.38	232146.95	218154.97	42443.1	209003.9	157130.88	54760.093	273613.19	131278.1	155460.13	115415.96	168951.33	59018.03	88473.19	261461.18	201804.76	190116.9	64462.997	230279.57	76886.92	193608.2	139555.93	93573.8	224532.94	143076.29	190958.54	216224.26	41043.95	175683.83	150981.22	166945.84	62551.901
sp|A0FGR8|ESYT2_HUMAN	2242.002	16341.994	4951.998	3947.9876	1292.9814	12631.937	7498.981	3750.9887	1930.02	5398.995	5406.02366	NA	NA	5774.997	662.9894	2237.012	3689.0148	3505	3516.983	8231.026	4379.9993	9082.975	9083.973	1712.022	15031.016	6448.02	9010.036	7097.034	3477.039	6832.9749	NA	7938.019	11787.979	7205.003	3827.999	4628.024	2070.001	9688.036	5348.0138	5457.0237	7588.044	2648.999	6266.983	4987.02	3203.991	4990.977	6656.0106	7798.976	3961.041
sp|A0JNW5|UH1BL_HUMAN	62940	74193.9	82751.954	63147.07	74280.04	47166.01	43662.06	88709.9	116924.97	64814.98	33208.04	70454.055	38233.035	60769.88	17108.974	36216.972	27840.967	96611	75720.02	105873.73	47448.984	94207.86	113380.02	32109.015	151251.08	32529.044	72113.025	89680.95	143361.22	5349.0182	104927.77	123850.19	72373.12	103291.12	98163.74	68899.11	60400.021	80498.05	55841.08	61538.975	74714.07	64775.93	147385.17	69081.04	37833.955	97063.89	64729.01	84851.93	94486.92
sp|A0MZ66|SHOT1_HUMAN	30287.111	35938.881	29910.989	39070.078	40508.971	31252.072	30421.003	26923.934	24013.971	35524.034	25854.96	16082.988	12363.003	22410.001	11284.005	7874.016	14517.022	53264.138	51115.027	44560.868	20418.992	38367.941	63004.87	12984.041	55823.976	48773.16	58525.013	17063.001	40549.05	21833.984	5626	50140.099	46606.94	43110.95	26236.96	35949.062	24014.012	47079.954	29348.008	26461.082	49084.08	40331.956	40046.08	44476.898	20025.99	38584.098	29376.022	40964.035	34312.062
sp|A1KXE4|F168B_HUMAN	NA	18137.985	5941	7242.036	20157.064	14595.952	8486.994	1582.9872	9906.013	8050.977	9459	NA	NA	12954.002	NA	1574.0063	2385.9886	22687.0282	5932.978	10869.014	2740.999	18836.002	25341.011	16160.973	25169.072	11609	4492.9943	NA	1847.989	6161.97	NA	17416.037	24981.0272	16271.0413	1784.991	18493.988	4020.037	20736.018	9035.993	9353.9897	24389.025	12742.974	15257.996	3400.034	4345.9779	1232.998	1398.996	1829.005	5266.983
sp|A1L0T0|ILVBL_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	8323.023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4248.984	NA	2362.998	NA	5285.983	NA	NA	NA	NA	NA	3378.008	NA	NA	5819.055	NA	NA	20912.03	NA	10904.025	NA	NA	15395.999
